time,reward_count,reward_mean,reward_std,reward_min,reward_25%,reward_50%,reward_75%,reward_max,agent,total_steps,accelerate,scenario,traffic_density,w_qos,w_xqos
2025-04-13 17:12:08,10080.0,-0.16031322442011425,0.060746136946344044,-2.5100243667425337,-0.17346563677674698,-0.15260492717752847,-0.13724308693711632,-0.0919803383759698,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-13 17:19:20,10080.0,-0.15972587915378175,0.06197190920664687,-3.2335896637471087,-0.17348722666833455,-0.15233943345063697,-0.13708696653473174,-0.09545557216983255,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-13 17:25:37,10080.0,-0.1615256839469043,0.08787639728880271,-5.045222127668166,-0.17351694415298866,-0.15246137187462117,-0.13734319782737422,-0.09244689745040917,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-13 18:07:58,10080.0,-0.16297050250712097,0.13074958801163933,-5.1832558669219715,-0.1669033791854267,-0.148535600418208,-0.13498429274117885,-0.08967814254527008,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-13 18:14:15,10080.0,-0.16307145069309514,0.14203949371201813,-8.36103663617889,-0.1669148017558733,-0.1487869208847042,-0.1352961820075389,-0.09375796082963914,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-13 18:21:00,10080.0,-0.16163501209991588,0.11969451503045586,-4.298775884947075,-0.1667206957840346,-0.14864831901601516,-0.13490938308275796,-0.09513977788085731,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 00:01:33,10080.0,-0.3334700026581047,0.0517547644239821,-0.45949377894591553,-0.37867668686438993,-0.3446300068709594,-0.2872435587768939,-0.21820942993655731,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 00:08:45,10080.0,-0.3327711143008243,0.052214748738645525,-0.44721918492132684,-0.3783292190023215,-0.34431432282683616,-0.2833827291909855,-0.22396929293686543,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 00:16:00,10080.0,-0.3333587886503246,0.05117402237233113,-0.4521866268958786,-0.3781417304279308,-0.3432092445496839,-0.2878806472118413,-0.21081254553630502,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 00:49:37,10080.0,-0.3093009375690093,0.04621529329175881,-0.6335872973228596,-0.3508826493803481,-0.3043666585622973,-0.2659615668657671,-0.21185944756528197,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 00:56:32,10080.0,-0.30917452149560687,0.046254238308128214,-0.4269530700894437,-0.35105497340408354,-0.30404145216423795,-0.26492886361045015,-0.2160014284846964,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 01:03:34,10080.0,-0.30902381842431526,0.04582658273326274,-0.42610641767939167,-0.35006006233880504,-0.30359362851217375,-0.2662386660751905,-0.2168116543833826,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 03:49:31,10080.0,-0.18447631347059507,0.14083478188630214,-5.153617104151574,-0.1960610814669569,-0.1710875336992983,-0.15449101934140175,-0.10154317437581799,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 03:54:31,10080.0,-0.18329545870038413,0.19154212647916016,-10.21082496435571,-0.19464419221344506,-0.17004375565160915,-0.15393781915514432,-0.10263355453669196,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 03:59:32,10080.0,-0.1821633296550954,0.10355648805987415,-4.323138709877294,-0.19551494296235983,-0.17040701681800152,-0.15394578135060402,-0.09964936740829397,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 14:15:21,10080.0,-0.18767619263646357,0.142405142464505,-9.174016363811777,-0.19999237578318074,-0.17144436961786644,-0.15282161770892846,-0.10005587838074817,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 14:21:29,10080.0,-0.1879217402877672,0.13828051680621464,-5.158628801053528,-0.19915621696354335,-0.17095622607200894,-0.15157407211839183,-0.09940146310370634,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 14:26:58,10080.0,-0.18783618902212365,0.137202666513883,-5.470220364167153,-0.19908144250393953,-0.17168567143138957,-0.15212689663382453,-0.09163919030481055,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 14:51:01,10080.0,-0.1802527426424388,0.13659270354014327,-5.0396256913371085,-0.18748600681693645,-0.16497684620520922,-0.1486434566370356,-0.10094402141474375,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 14:58:26,10080.0,-0.1793340258369448,0.17191089152671857,-8.356845695408037,-0.1870677016740235,-0.164706494969658,-0.1489166843846192,-0.0989573305147359,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 15:06:00,10080.0,-0.1825779148112871,0.19562933245473904,-8.293018888048358,-0.1878363152490456,-0.16505873094280865,-0.1491822146064843,-0.09737260678032107,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 15:23:19,10080.0,-0.18767619263646357,0.142405142464505,-9.174016363811777,-0.19999237578318074,-0.17144436961786644,-0.15282161770892846,-0.10005587838074817,mappo,10080,3000,B,37.872816716557175,10.0,0.005
2025-04-14 15:30:49,10080.0,-0.1879217402877672,0.13828051680621464,-5.158628801053528,-0.19915621696354335,-0.17095622607200894,-0.15157407211839183,-0.09940146310370634,mappo,10080,3000,B,37.872816716557175,10.0,0.005
